epoch, minibatch, validation error, test error,
1,14/14,81.16169544740973,58.901098901098905,
2,14/14,65.93406593406594,56.043956043956044,
3,14/14,65.93406593406594,0,
4,14/14,49.26216640502355,13.956043956043956,
5,14/14,38.430141287284144,21.428571428571427,
6,14/14,28.28885400313972,34.06593406593406,
7,14/14,27.315541601255884,34.06593406593406,
8,14/14,9.827315541601255,22.051282051282055,
9,14/14,9.419152276295133,21.97802197802198,
10,14/14,9.419152276295133,0,
11,14/14,9.419152276295133,0,
12,14/14,9.419152276295133,0,
13,14/14,9.419152276295133,0,
14,14/14,9.419152276295133,0,
15,14/14,9.419152276295133,0,
16,14/14,9.419152276295133,0,
17,14/14,9.419152276295133,0,
18,14/14,9.23076923076923,21.97802197802198,
19,14/14,8.320251177394034,21.97802197802198,
20,14/14,7.692307692307692,21.97802197802198,
21,14/14,7.535321821036107,21.97802197802198,
22,14/14,7.535321821036107,0,
23,14/14,7.535321821036107,0,
24,14/14,7.535321821036107,0,
25,14/14,7.535321821036107,0,
26,14/14,7.535321821036107,0,
27,14/14,7.535321821036107,0,
28,14/14,7.535321821036107,0,
29,14/14,7.535321821036107,0,
30,14/14,7.535321821036107,0,
31,14/14,7.535321821036107,0,
32,14/14,7.535321821036107,0,
